Text,Noun,Number of Nouns,Verb,Number of Verbs,Adjective,Number of Adjectives
Ana Querido Rita,[],0,[],0,[],0
"Andrew Gu, Shoucheng Zhang",[],0,[],0,[],0
"James B. Murray, Jr.",[],0,[],0,[],0
"Dan Armbrust, Joe Kirgues, Jon Eckhardt, Troy Vosseller",[],0,[],0,[],0
"Simon Cook, Stuart Chapman",[],0,[],0,[],0
"Andy Appelbaum, Mitch Rubin, Morty Schaja, Wayne Powell",[],0,[],0,[],0
"Prashant Choksey, Praveen Chakravarty",[],0,[],0,[],0
"Barbara S. Schilberg, Gregory Harriman",[],0,[],0,[],0
"James Han, Ryan Feit",[],0,[],0,[],0
Jon Saari,[],0,[],0,[],0
"An Nguyen, CeCe Cheng, Josh Kopelman, Phin Barnes",[],0,[],0,[],0
John Friedenrich,[],0,[],0,[],0
Jean-Marc Bally,[],0,[],0,[],0
"Bjorn Brekel, Don Ritzen, James Digby, Koen Wagemakers, Oscar Kneppers, Rune Theill, Susana Arévalo",[],0,[],0,[],0
"Adrian Fenty, Charles King, Marlon Nichols, Michael Palank",[],0,[],0,[],0
"Chris Sacca, Crystal Sacca",[],0,[],0,[],0
"Lukas Weber, Steffen Wagner",[],0,[],0,[],0
Rob Ness,[],0,[],0,[],0
Frank Adams,[],0,[],0,[],0
Faisal Khan,[],0,[],0,[],0
"Li Wei, Liu Hao",[],0,[],0,[],0
"Alan Morgan, Bruce Macfarlane",[],0,[],0,[],0
"Avnish Bajaj, Rishi Navani",[],0,[],0,[],0
Thomas Tsao,[],0,[],0,[],0
"Jerry Schlichter, Joe Schlafly",[],0,[],0,[],0
"Keith Titan, Urs Cete",[],0,[],0,[],0
"Alain Chuard, Larry Page, Scott Tierney, Sergey Brin, Wesley Chan",[],0,[],0,[],0
"Alex Frolov, Yaron Valler, Yaron Valler",[],0,[],0,[],0
"Bill Wood, Morgan Flager",[],0,[],0,[],0
Peter Liu,[],0,[],0,[],0
Peter Yan,[],0,[],0,[],0
"Hany Nada, Scott Stanford",[],0,[],0,[],0
Brian Paul,[],0,[],0,[],0
"Andrew Busey, Bill Boebel, Bryan Menell, Gordon Daugherty, Joshua Baer, Sam Decker",[],0,[],0,[],0
Bihua Chen,[],0,[],0,[],0
"Adam Carver, Jenny Fielding, Katie Hunt, Matthew Brimer, Scott Hartley",[],0,[],0,[],0
"Aviad Ariel, David Heller, Emanuel Timor, Ran Gartenberg, Yanai Oron, Yoram Oron",[],0,[],0,[],0
Tom Weithman,[],0,[],0,[],0
"Bob Goldberg, Dale Stinton",[],0,[],0,[],0
